user_id,book_id,rating,similar_books,authors,image_url,title,word_count,cleaned_reviews
0016a8010771c0c00c97f27dfc5cdd22,[129619],[5],"[""['107770', '656836', '133499', '330721', '784045', '360259', '692985', '774060', '12913453', '2374852', '36572', '425377', '422222', '731539', '525622']""]","[""[{'author_id': '9885', 'role': ''}]""]",['https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png'],"['A Kingdom of Dreams (Westmoreland, #1)']",239,"one stormy evening judith mcnaught stood at a crossroads, summoned the devil, and sold her soul in exchange for the talent to write historical romances. that's the only explanation possible to explain how awesome and gut-wrenching this book is! i have just emerged from a dark vortex of frantic reading while disregarding everything else around me. so a fair warning to all of you do not pick up this book if you don't intend to finish it in one sitting and it is a long book. not only has mcnaught created a world of characters that you can read without constantly berating for being too stupid to live. but she has also taken every plot twist you can expect in a historical romance - the big misunderstanding; the violent, disillusioned, alpha-male, macho hero; (view spoiler)[an arranged marriage (hide spoiler)] - and made them work! those are usually the things that make me roll my eyes and just tire of the genre, but a kingdom of dreams has made me remember why i started reading romance novels in the first place. it's a roller-coaster of emotions, i was crying one minute, laughing the next, hating one character only to find 30 pages later that i really really like him. this book put me through the wringer and made me love every second of it, so all i can say is: hats off to ms. mcnaught and 5 big fat stars!"
00214d8b0a020837cccf5f41eb563037,[6582637],[4],"[""['6753250', '10557809', '7044446', '188275', '5604848', '13412557', '1066445', '8843801', '6286042', '6337006']""]","[""[{'author_id': '71688', 'role': ''}]""]",['https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png'],"[""Archangel's Kiss (Guild Hunter, #2)""]",404,"even though i gave the book a pretty high rating i had a few issues with it. one of them being that even though the build up to action scenes was intense enough to keep me intrigued, the actual action scenes seemed to hold barely any action and are settled within a couple of pages. the final fight they had could have been so much more intriguing. i found myself thinking that about a lot of the action scenes (view spoiler)[ especially the one against elena vs. neha's daughter. like she was so much stronger than elena and was caught so easily by elena that it was just really disappointing. she went through all that training and didn't really even get to use it or if she did i couldn't tell (hide spoiler)] another major point is the way some of the book is written! it seemed so choppy at times because of lack of descriptions and transitioning. one minute a character would be doing something and then they'd suddenly be doing something completely different without little transition being explained. and the way some of the new areas, items and scenes were described were so confusing. i was really confused when elena knew how to fly all of a sudden. (view spoiler)[ though i really loved her first session when he pushed her off the cliff, aahh romantic lol (hide spoiler)] maybe i just read too quickly. also i still don't understand how they wear the special designed shirts and how raphael ""seals"" his?!?! aside from these points i really did enjoy the book and will continue the series because i love the characters and want to see what will happen next in their lives. i hope that in the next book elena will be a lot stronger and be able to fight back a bit more against raphael need for control. she seemed to be a lot less headstrong than she was in the first book. i'm happy to see that they have been able to build trust in one another and hope to see that continue. i'd also like to get to know more about the sevens and little sam and the little angel babies!!!! the author really should have gave us more scenes with them, wasted opportunity!! hopefully the next book has better details, less lusting after everyone and sex scenes, and actual intense action scenes that make it worth it."
00238d8a4c276c47f5d5e242f54a8f28,"[12410324, 13574417]","[4, 4]","[""['13097681', '13181901', '12977172', '13487029', '10552965', '12081827', '10578952', '12922364', '9396162', '13233397', '10635806', '12569468', '27353499', '13149420', '13055748', '13367528', '12971630', '35534215']"", ""['12711662', '20769219', '10222365', '17334538', '13645645', '11640957', '13518102', '18079614', '17255996', '17934493', '16032322', '17149396', '12369550', '13479780', '18513759', '15945897', '20911660']""]","[""[{'author_id': '4573983', 'role': ''}]"", ""[{'author_id': '5804715', 'role': ''}]""]","['https://images.gr-assets.com/books/1334998655m/12410324.jpg', 'https://images.gr-assets.com/books/1384610045m/13574417.jpg']","['Losing Lila (Lila, #2)', 'Alienated (Alienated, #1)']",222,"woo the sequel to hunting lila! loved the first book and the second was just as good!sarah alderson is a great writer! i've been obsessed with supernatural powers since i started watching charmed when i was 8, so this duology is a really good read for me! powers...and of course alex wakeman..mmm! he was great. i loved the whole gang really. demos is just awesome. and of course suki and nate. gah i love them all. there were rumours of a third book...i really hope there is! actual rating 3.75 stars i enjoyed alienated by melissa landers, it was great to find a fun ya sci fi with attractive aliens! the only others i've found have been the lux series by jennifer l armentrout, and broken skies by theresa kay. i really liked the idea of an alien student exchange programme, i thought that that was really unique! the prejudice and mob like behaviour of halo and the town reminded me a lot of stuff i've read about prejudice and anger at the integration of black and white students in america. i liked the plot and the characters in this, but i did feel like there was just something missing from it - not sure exactly what though. i still really enjoyed it though, and i'm looking forward to reading the sequel."
00678bcab8da79ce5720200a3c2e4e7f,[13206760],[5],"[""['9943270', '12812550', '10165761', '15723286', '13581990', '12383869', '11431896', '16101026', '10345937', '15714476', '16102412', '14288998', '13060608', '13514612', '13115995', '16101515', '16113606', '15773979']""]","[""[{'author_id': '4684322', 'role': ''}]""]",['https://images.gr-assets.com/books/1470056982m/13206760.jpg'],"['Scarlet (The Lunar Chronicles, #2)']",109,"""i think i realized that i would rather die because i betrayed them, than live because i betrayed you."" 4.5 stars my review for cinder here. cinder is on the run. the entire world is looking for her. she knows who she is- who she really is. with the help of iko and some new friends, cinder advances further and further towards taking down queen levana. even if you didn't like cinder, you should definitely consider giving scarlet a shot. the little red riding hood is my all-time favorite fairy tale. this was so perfect! i absolutely love wolf and scarlet. cinder and thorne are officially my new brotp."
006f552534b15a7358a125f7505e0eea,[19161835],[5],"[""['7668119', '25367', '7516027', '3190020', '577399', '17794325', '3198689', '20697571', '411565', '9697687', '8658120', '17797402', '5103426', '112895', '123556', '55448', '16032127']""]","[""[{'author_id': '6426380', 'role': ''}, {'author_id': '144369', 'role': 'Translation'}]""]",['https://images.gr-assets.com/books/1401076501m/19161835.jpg'],['Confessions'],54,"another excellent novel from kanae minato. built the same way as her excellent penance, it is a simple plot seen by different points of view. two students murdered the daughter of their teacher and she takes revenge. the same story completely changes when it's seen by diverging points of view. it's twisted and great."
009235f414f42cfd0f76282f6aefe6c1,"[10869746, 4667024, 8490112]","[4, 5, 5]","[""['19286653', '6350211', '12060586', '3347214', '10779721', '3196717', '8286238', '8840017', '13371323', '10092502', '9901494', '7296271', '11048733', '4772386', '13172164']"", ""['43641', '306654', '132900', '2138727', '1103', '7008161', '6718608', '6505109', '94672', '2807199', '1207895', '16449', '5060378', '11206', '444056', '6617928', '6469165']"", ""['10165761', '13409145', '8288246', '10165210', '17667916', '15765699', '11836538', '9666870', '11098871', '10836471', '7977037', '17849112', '17378508', '17345314', '9859436', '8662135', '10445208', '40159']""]","[""[{'author_id': '12425', 'role': ''}, {'author_id': '350494', 'role': ''}]"", ""[{'author_id': '1943477', 'role': ''}]"", ""[{'author_id': '324620', 'role': ''}]""]","['https://images.gr-assets.com/books/1366212058m/10869746.jpg', 'https://images.gr-assets.com/books/1346100365m/4667024.jpg', 'https://images.gr-assets.com/books/1461353773m/8490112.jpg']","['Rise of the Governor (The Walking Dead #1)', 'The Help', 'Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)']",140,"this book is amazing. for your information, this book based on graphic novel and a tv series. and to give it full credit i have to devour all of them. i really liked how the words left me just like i am trapped with this group in the middle of the walking dead. i will put it in my re-read shelf because i need to get back to it very soon and this time with hard copy not audio book. this book is one of the best books that ive read this year. i really really liked it and i dont even know what to write. must read!!! highly recommend it once upon a time, an angel and a devil fell in love . it didnt end well! amazing start to a wonderful book +5 stars and highly recommend it."
00925084a0dc0aad9ac93163a7f4bfe9,[22529345],[4],"[""['22392926', '18340618', '26213915', '22456920', '6015837', '22456923', '23293956', '20873188', '29939266', '17853873', '27414418', '22032788', '23460952', '22611701', '22501981', '22864474', '20922690', '18392476']""]","[""[{'author_id': '4575382', 'role': ''}]""]",['https://images.gr-assets.com/books/1418113343m/22529345.jpg'],['Inherit Midnight'],536,"i'll be honest and say that i wasn't sure if i would like this book. the synopsis made it sound like there would be a lot of plot holes. now that i've read inherit midnight, i can honestly say i had a lot of fun reading this novel. and that the only note that i wrote down about inherit midnight was ' riley better not fucking betray her in any way or i will kill his ass!!! ' i quite like the plot of this book. from the moment this book starts, the action just seems to go up from there. inherit midnight takes place over a few countries, and i really like that! where the contest takes the group, we learn a few things about that country as well. the pacing of the book is nice as well. the story seems to flow effortlessly. so reading inherit midnight was easy character development there are so many characters in this novel, and we see through avery's eyes how they choose to treat her. and honestly, most of, if not all, treat her like shit. like she's the scum of the earth. and they honestly have no reason to do such a thing. avery has it hard because she's both bullied in school and by her family. and she doesn't have a mother or father figure. sure, she has her grandmother, but the two of them aren't emotionally close. avery only has a few people in her life that she's close to. avery has honestly lived a privileged, yet hard life. we see how this has affected avery, and how avery lives her life. she's honestly a really strong young girl. marshall is a such a freaking dick in this book. i hate his character so, so much. i honestly have nothing more to say. he is a dick and ughhh. i just hate his character, and who he is. even though thats pretty much the same thing. riley is cuuuuuute!! although if he were a real person, i would have to beat him up a little.. he's there for avery though, and i guess that's all that really matters most. they're both there for each other when they need to be. anyway, riley is a key character in this novel, and i really wish that there could've been a few chapters in inherit midnight from riley's point of view. i would've really enjoyed seeing avery and the competition from riley's view of things! aside from all of that, riley is a great guy for avery. all in all, i really enjoyed reading inherit midnight. the plot thickened at all the right moments. we see parts of characters that i didn't think i would ever see, nor avery would ever get to know. i'm really happy with the turn out of the story! i'm also hoping for maybe a novella, or a 150 page novel, continuing on from the last paragraph of the book?! please?! i have so much hope for a next part of avery's story. like...how could there not be?! i want to give a huge thank you to netgalley, and especially to bloomsbury usa children's books for allowing me to read an arc copy!"
0094c87e3b8c40fbbf7fe6e796020648,"[248704, 6567017]","[4, 4]","[""['23232', '4906766', '9711714', '8563789', '6413788', '1112520', '15764032', '6512140', '457060', '1189878', '6763730', '2741766', '790289', '51740', '9491739', '6373717', '10628114', '25373']"", ""['5982447', '6217775', '8461405', '7092348', '1189878', '235466', '291895', '13414183', '94062', '437590', '11523971', '8928054', '7740164', '6017769', '18079719', '17160703', '6138539', '23230']""]","[""[{'author_id': '11672', 'role': ''}]"", ""[{'author_id': '1406384', 'role': ''}, {'author_id': '11664', 'role': ''}]""]","['https://images.gr-assets.com/books/1420629730m/248704.jpg', 'https://images.gr-assets.com/books/1368393890m/6567017.jpg']","[""It's Kind of a Funny Story"", 'Will Grayson, Will Grayson']",33,that was really good and surprisingly relatable. glad i read it :) will grayson and will grayson and tiny cooper made me laugh and smile and tear up and that book was great.
009a47e49c0dc6e84d1c5e0eb4cdf7f6,"[12294652, 11918, 5310515]","[5, 5, 4]","[""['12987127', '11263180', '12551077', '12989112', '12049227', '12681111', '12813860', '13060734', '9403947', '15814564', '12795982', '12924304', '12410324', '10914560', '12962924', '12478533', '13069681', '10564983']"", ""['5393637', '8559047', '6134783', '14460', '157569', '81612', '74046', '6319978', '30262', '1233478']"", ""['62151', '607931', '4414890', '8293938', '3490345', '9858488', '6609764', '6202556', '1782811', '18060008', '2768169', '5201814', '6493836', '556136', '6281385', '65954', '9252036', '984168']""]","[""[{'author_id': '4660036', 'role': ''}]"", ""[{'author_id': '7581', 'role': ''}]"", ""[{'author_id': '175329', 'role': ''}]""]","['https://images.gr-assets.com/books/1394240144m/12294652.jpg', 'https://images.gr-assets.com/books/1306101770m/11918.jpg', 'https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png']","['My Life Next Door', 'Bitten (Women of the Otherworld, #1)', 'When You Reach Me']",622,"guysssss i really liked this one!! i actually pre-ordered it because of all the positive reviews i had read, and because i was convinced it was a ""me"" book. i'm glad i did, because i really adored it. the romance was amazing and swoony, and i loved both samantha and jase so much. plus the whole garrett family deserves whole speeches about how awesome they are (especially george, who just... there are no real words about how hilarious and great he is). this one worked for me because the side characters were great, and there was more going on besides just the romance. the drama toward the end was a bit iffy, but it was interesting at the same time. what matters most, to me at least, is that i liked the ending and i liked that it was a concrete ending while still giving the reader room to imagine how the characters' futures would pan out. i can see why everyone loved this book so much, because i fell in love with huntley fitzpatrick's writing from the first few pages, and it just continued on throughout the book. definitely reminiscent of jenny han/sarah dessen/elizabeth scott (and those three are like my ya contemp romance trifecta of awesome-ness, so you know that's a good compliment!). i think what i really liked about this story is that there is so much back story for the supernatural world they live in, as well as history with the characters, and yet i didn't feel lost once. you want to know more about everything, but you're never confused or scrambling to keep up. kelley armstrong really knows how to world build in a way that feels effortless. it's so detailed and interesting, yet never tedious because you learn the facts along the way. elena is a fabulous character, plain and simple. you empathize with her want for normalcy, and yet you realize that the way she's forcing herself into a box for that version of ""normal"" isn't what's right for her. i quickly fell in love with all the werewolf characters, and loved their relationship with elena. i feel like there has to be mention of clay when you mention elena, and what is there to say about clay? he's so interesting, and i like how elena brings out some level of humanity in him, and yet knows she can't change him. really fabulous start to a series that i know i'll enjoy. what an engaging story! this is a book that is written in a very conversational tone, which makes it very easy to get through. the story told is sort of simplistic, yet it's very complex at the same time. i absolutely love stories that appear so simple yet hide their depth, so this one was right up my alley. there is also a fantastical element to the story, yet it's very much just a realistic tale of a young girl growing up in new york in the '70s. all of the characters came to life and had personalities of their own. how 'a wrinkle in time' was woven into the story was fantastic. it was one of my favourite books as a child, and i still enjoy it, so i loved how it was a big part of the story. it's hard to describe this book, but it was just very enjoyable to experience. i feel like all the words were chosen very specifically, and the whole story is very strictly written to add up to one specific point. i loved trying to figure out what story miranda was trying to tell, and who she was addressing the story to. conclusion: this was a really charming story that will appeal to all ages."
009abcb92443d0c048847ed0b8d2ecf0,[13206900],[5],"[""['13138736', '16102412', '16181625', '10345937', '13618440', '17558151', '12873027', '17883441', '17410991', '17849112', '14061957', '25351256', '17667561', '16150831', '14288998', '10165761', '17378527', '16039122']""]","[""[{'author_id': '4684322', 'role': ''}]""]",['https://images.gr-assets.com/books/1470057036m/13206900.jpg'],"['Winter (The Lunar Chronicles, #4)']",355,"*claps hands* finally, an ending that satisfying and leaves one feeling content. i love this book. it's my second favorite next to cress. i really liked the character progression and how meyer was able to keep them all distinct and true to themselves as she had presented them throughout the book. while this made parts insufferable and i actually screamed out loud a few times in pure irritation about some of the decisions that were being made, i realize if the characters had acted as i had wanted them, they wouldn't be who i wanted them to be. in this book, we see more of winter, and i agree with scarlett, she is looney. because of her lunar sickness, it makes her childlike, and i have a hard time remembering she is 17 years old. a really hard time. there were times i wanted to shake her, so i guess that means that meyer did a really good job in personifying her. plot-wise. there are a lot loops and turns and just moments of sheer luck that happen. like when certain events happened, i found myself trying to figure how that was gonna work out as there still upteenth 100 pages left. but it was good. some parts i was like ""umm is that even possible"" but it's book fantasy so i let it pass. this book had very few lull moments and the action scenes were ridiculous. i really liked how meyer was able to bring urgency and desperation and something else i cannot name to this plot. queen levana - after reading fairest, i understand that she is cray cray. like mentally incapacitated cray cray. but yea, she goes to an entire level of crazy that only be described as levana madness. i almost feel sorry for her, but she's so deep in self-deception is pointless. but she makes a really good villian. overall, i love this book. i give it 4.75 stars due to the fact i have some qualms with some spoilery points. but it was a satisfying conclusion and makes this trilogy i will love to reread in the future."
